"","IsolateID","Estimate","Standard Error","DF","t-value","Lower CI","Upper CI","p-value","Plant"
"IsolateID  1.03.02",19,2.5725,0.569,3.3,4.52,0.8412,4.3038,0.0169,"PI.413153"
"IsolateID  1.03.04",20,1.8455,0.5688,3.3,3.24,0.1138,3.5772,0.0424,"PI.413153"
"IsolateID  1.03.12",21,1.768,0.569,3.3,3.11,0.0366,3.4993,0.0474,"PI.413153"
"IsolateID  1.03.16",22,2.1118,0.5691,3.3,3.71,0.3809,3.8428,0.0295,"PI.413153"
"IsolateID  1.03.18",23,1.9699,0.5688,3.3,3.46,0.2381,3.7017,0.0357,"PI.413153"
"IsolateID  1.03.19",24,1.9331,0.5689,3.3,3.4,0.2016,3.6646,0.0375,"PI.413153"
"IsolateID  1.03.20",25,0.1679,0.5691,3.3,0.3,-1.563,1.8988,0.7858,"PI.413153"
"IsolateID  1.03.22",26,1.7984,0.5689,3.3,3.16,0.0667,3.5301,0.0454,"PI.413153"
"IsolateID  1.03.23",27,2.4744,0.5689,3.3,4.35,0.7427,4.206,0.0189,"PI.413153"
"IsolateID  1.04.01",28,2.294,0.5691,3.3,4.03,0.5631,4.0248,0.0234,"PI.413153"
"IsolateID  1.04.02",29,0.9757,0.5688,3.3,1.72,-0.756,2.7075,0.1775,"PI.413153"
"IsolateID  1.04.03",30,1.4815,0.5689,3.3,2.6,-0.25,3.213,0.0736,"PI.413153"
"IsolateID  1.04.04",31,2.79,0.5688,3.3,4.91,1.0581,4.522,0.0133,"PI.413153"
"IsolateID  1.04.05",32,2.2209,0.569,3.3,3.9,0.4896,3.9522,0.0256,"PI.413153"
"IsolateID  1.04.12",33,2.1846,0.5915,3.8,3.69,0.509,3.8602,0.0229,"PI.413153"
"IsolateID  1.04.15",34,1.2151,0.569,3.3,2.14,-0.5162,2.9464,0.1151,"PI.413153"
"IsolateID  1.04.17",35,2.6892,0.5917,3.8,4.55,1.014,4.3644,0.0117,"PI.413153"
"IsolateID  1.04.19",36,2.2199,0.5691,3.3,3.9,0.4891,3.9508,0.0256,"PI.413153"
"IsolateID  1.04.20",37,1.7698,0.5692,3.3,3.11,0.0391,3.5005,0.0472,"PI.413153"
"IsolateID  1.04.21",38,1.6998,0.5692,3.3,2.99,-0.0308,3.4305,0.0523,"PI.413153"
"IsolateID  1.04.25",39,2.1162,0.5689,3.3,3.72,0.3848,3.8476,0.0293,"PI.413153"
"IsolateID  1.05.11",40,1.624,0.5688,3.3,2.85,-0.1077,3.3557,0.0588,"PI.413153"
"IsolateID  1.05.14",41,2.4565,0.5691,3.3,4.32,0.7255,4.1875,0.0193,"PI.413153"
"IsolateID  1.05.17",42,1.3091,0.5691,3.3,2.3,-0.422,3.0401,0.0978,"PI.413153"
"IsolateID  1.05.22",43,2.5208,0.5688,3.3,4.43,0.7888,4.2527,0.0179,"PI.413153"
"IsolateID  1.05.24",44,2.0489,0.5691,3.3,3.6,0.3181,3.7798,0.032,"PI.413153"
"IsolateID  2.04.03",45,3.4412,0.5691,3.3,6.05,1.7103,5.1721,0.0071,"PI.413153"
"IsolateID  2.04.04",46,3.3528,0.5913,3.8,5.67,1.677,5.0287,0.0055,"PI.413153"
"IsolateID  2.04.08",47,3.6423,0.5688,3.3,6.4,1.9106,5.374,0.006,"PI.413153"
"IsolateID  2.04.09",48,3.002,0.5688,3.3,5.28,1.2702,4.7339,0.0107,"PI.413153"
"IsolateID  2.04.11",49,3.1814,0.5688,3.3,5.59,1.4496,4.9131,0.009,"PI.413153"
"IsolateID  2.04.12",50,2.9333,0.5689,3.3,5.16,1.2019,4.6646,0.0115,"PI.413153"
"IsolateID  2.04.14",51,2.6819,0.5691,3.3,4.71,0.9512,4.4127,0.0149,"PI.413153"
"IsolateID  2.04.17",52,3.3896,0.5687,3.3,5.96,1.6575,5.1216,0.0075,"PI.413153"
"IsolateID  2.04.18",53,3.0979,0.5689,3.3,5.45,1.3664,4.8294,0.0098,"PI.413153"
"IsolateID  2.04.20",54,3.3067,0.5689,3.3,5.81,1.5751,5.0383,0.008,"PI.413153"
"IsolateID  2.04.21",55,2.7079,0.5692,3.3,4.76,0.9772,4.4385,0.0145,"PI.413153"
"IsolateID  2004",56,1.7033,0.5691,3.3,2.99,-0.0278,3.4343,0.0521,"PI.413153"
"IsolateID  94.1",57,1.9938,0.5688,3.3,3.5,0.2621,3.7255,0.0345,"PI.413153"
"IsolateID  94.4",58,1.2074,0.569,3.3,2.12,-0.5239,2.9386,0.1167,"PI.413153"
"IsolateID  Acacia",59,1.8042,0.569,3.3,3.17,0.0731,3.5353,0.0449,"PI.413153"
"IsolateID  Apple404",60,2.4894,0.5688,3.3,4.38,0.7576,4.2213,0.0186,"PI.413153"
"IsolateID  Apple517",61,1.9766,0.5689,3.3,3.47,0.2451,3.708,0.0353,"PI.413153"
"IsolateID  Ausubel",62,1.7013,0.5687,3.3,2.99,-0.0308,3.4333,0.0523,"PI.413153"
"IsolateID  B05.10",63,1.0714,0.5689,3.3,1.88,-0.6602,2.803,0.1488,"PI.413153"
"IsolateID  BMM",64,2.2798,0.5689,3.3,4.01,0.5482,4.0113,0.0238,"PI.413153"
"IsolateID  BPA1",65,2.402,0.5689,3.3,4.22,0.6706,4.1334,0.0206,"PI.413153"
"IsolateID  DavisNavel",66,0.0973,0.569,3.3,0.17,-1.6338,1.8285,0.8742,"PI.413153"
"IsolateID  EsparatoFresa",67,1.1859,0.5692,3.3,2.08,-0.5448,2.9166,0.1211,"PI.413153"
"IsolateID  Fd1",68,2.1814,0.5916,3.8,3.69,0.5061,3.8568,0.0229,"PI.413153"
"IsolateID  Fd2",69,2.1594,0.5692,3.3,3.79,0.4287,3.89,0.0277,"PI.413153"
"IsolateID  Fresa525",70,2.4264,0.5918,3.8,4.1,0.7514,4.1014,0.0164,"PI.413153"
"IsolateID  FresaSD",71,1.4917,0.5916,3.8,2.52,-0.1836,3.1671,0.0683,"PI.413153"
"IsolateID  Gallo1",72,0.7145,0.5689,3.3,1.26,-1.0169,2.446,0.2916,"PI.413153"
"IsolateID  Gallo2",73,2.0173,0.5689,3.3,3.55,0.2856,3.749,0.0334,"PI.413153"
"IsolateID  Geranium",74,0.7898,0.5915,3.8,1.34,-0.8857,2.4653,0.256,"PI.413153"
"IsolateID  Grape",75,1.1841,0.5692,3.3,2.08,-0.5466,2.9148,0.1215,"PI.413153"
"IsolateID  KatieTomato",76,2.6475,0.5691,3.3,4.65,0.9166,4.3784,0.0155,"PI.413153"
"IsolateID  KernA2",77,2.2238,0.5919,3.8,3.76,0.5489,3.8987,0.0216,"PI.413153"
"IsolateID  KernB1",78,2.6679,0.5688,3.3,4.69,0.9361,4.3996,0.0152,"PI.413153"
"IsolateID  KernB2",79,2.6129,0.5689,3.3,4.59,0.8812,4.3445,0.0162,"PI.413153"
"IsolateID  KGB2",80,2.6431,0.5688,3.3,4.65,0.9113,4.3749,0.0156,"PI.413153"
"IsolateID  MEAP6G",81,2.316,0.5687,3.3,4.07,0.5839,4.048,0.0228,"PI.413153"
"IsolateID  Mex03",82,0.8865,0.569,3.3,1.56,-0.8447,2.6176,0.2099,"PI.413153"
"IsolateID  Molly",83,2.4716,0.5689,3.3,4.34,0.7401,4.2032,0.019,"PI.413153"
"IsolateID  Navel",84,2.5121,0.5918,3.8,4.24,0.8371,4.1871,0.0146,"PI.413153"
"IsolateID  NobleRot",85,1.3456,0.5688,3.3,2.37,-0.3863,3.0775,0.092,"PI.413153"
"IsolateID  Peachy",86,1.8593,0.5688,3.3,3.27,0.1275,3.5911,0.0416,"PI.413153"
"IsolateID  Pepper",87,1.6685,0.569,3.3,2.93,-0.0628,3.3999,0.0549,"PI.413153"
"IsolateID  PepperSub",88,1.9189,0.5689,3.3,3.37,0.1872,3.6505,0.0382,"PI.413153"
"IsolateID  PhiloMenlo",89,1.6866,0.5695,3.3,2.96,-0.0431,3.4164,0.0533,"PI.413153"
"IsolateID  Rasp",90,2.6197,0.5689,3.3,4.61,0.888,4.3513,0.016,"PI.413153"
"IsolateID  Rose",91,1.0916,0.569,3.3,1.92,-0.6396,2.8229,0.1434,"PI.413153"
"IsolateID  Supersteak",92,2.3262,0.5691,3.3,4.09,0.5951,4.0572,0.0225,"PI.413153"
"IsolateID  Triple3",93,2.5313,0.5692,3.3,4.45,0.8007,4.2619,0.0176,"PI.413153"
"IsolateID  Triple7",94,0.5257,0.569,3.3,0.92,-1.2056,2.257,0.4187,"PI.413153"
"IsolateID  UKRazz",95,3.5039,0.5691,3.3,6.16,1.7729,5.2349,0.0067,"PI.413153"
"IsolateID  1.01.011",1,2.3395,0.4213,6.8,5.55,1.336,3.3429,0.001,"PI.413153"
"IsolateID  1.01.021",2,2.3631,0.4214,6.8,5.61,1.3596,3.3665,9e-04,"PI.413153"
"IsolateID  1.01.031",3,2.6948,0.4218,6.8,6.39,1.6912,3.6984,4e-04,"PI.413153"
"IsolateID  1.01.041",4,2.2759,0.4217,6.8,5.4,1.2723,3.2795,0.0011,"PI.413153"
"IsolateID  1.01.061",5,2.4691,0.4421,8.2,5.59,1.4536,3.4846,5e-04,"PI.413153"
"IsolateID  1.01.151",6,2.2762,0.4217,6.8,5.4,1.2726,3.2798,0.0011,"PI.413153"
"IsolateID  1.02.011",7,1.9694,0.4214,6.8,4.67,0.9659,2.9729,0.0025,"PI.413153"
"IsolateID  1.02.021",8,2.294,0.4215,6.8,5.44,1.2905,3.2975,0.0011,"PI.413153"
"IsolateID  1.02.031",9,2.1284,0.4215,6.8,5.05,1.1248,3.1319,0.0016,"PI.413153"
"IsolateID  1.02.041",10,2.2626,0.4216,6.8,5.37,1.259,3.2661,0.0012,"PI.413153"
"IsolateID  1.02.051",11,2.7897,0.4215,6.8,6.62,1.7862,3.7932,3e-04,"PI.413153"
"IsolateID  1.02.061",12,2.2477,0.4217,6.8,5.33,1.2441,3.2512,0.0012,"PI.413153"
"IsolateID  1.02.131",13,0.6501,0.4422,8.2,1.47,-0.3655,1.6657,0.1789,"PI.413153"
"IsolateID  1.02.151",14,1.9766,0.4216,6.8,4.69,0.9731,2.9802,0.0024,"PI.413153"
"IsolateID  1.02.161",15,1.2258,0.4215,6.8,2.91,0.2223,2.2293,0.0236,"PI.413153"
"IsolateID  1.02.171",16,2.1713,0.4217,6.8,5.15,1.1677,3.1749,0.0015,"PI.413153"
"IsolateID  1.02.181",17,-0.0521,0.4216,6.8,-0.12,-1.0556,0.9515,0.9053,"PI.413153"
"IsolateID  1.02.201",18,2.2792,0.442,8.2,5.16,1.2638,3.2947,8e-04,"PI.413153"
"IsolateID  1.03.021",19,2.305,0.4216,6.8,5.47,1.3014,3.3085,0.001,"PI.413153"
"IsolateID  1.03.041",20,2.1987,0.4214,6.8,5.22,1.1952,3.2022,0.0014,"PI.413153"
"IsolateID  1.03.121",21,2.2094,0.4216,6.8,5.24,1.2059,3.2129,0.0013,"PI.413153"
"IsolateID  1.03.161",22,1.9222,0.4217,6.8,4.56,0.9186,2.9258,0.0028,"PI.413153"
"IsolateID  1.03.181",23,2.1275,0.4214,6.8,5.05,1.1241,3.131,0.0016,"PI.413153"
"IsolateID  1.03.191",24,1.7966,0.4215,6.8,4.26,0.793,2.8001,0.004,"PI.413153"
"IsolateID  1.03.201",25,0.0626,0.4217,6.8,0.15,-0.941,1.0662,0.8863,"PI.413153"
"IsolateID  1.03.221",26,1.2078,0.4215,6.8,2.87,0.2043,2.2112,0.025,"PI.413153"
"IsolateID  1.03.231",27,2.6671,0.4215,6.8,6.33,1.6636,3.6706,5e-04,"PI.413153"
"IsolateID  1.04.011",28,2.5537,0.4217,6.8,6.06,1.5501,3.5574,6e-04,"PI.413153"
"IsolateID  1.04.021",29,1.277,0.4214,6.8,3.03,0.2736,2.2805,0.0199,"PI.413153"
"IsolateID  1.04.031",30,2.2534,0.4215,6.8,5.35,1.2499,3.2569,0.0012,"PI.413153"
"IsolateID  1.04.041",31,2.6359,0.4214,6.8,6.26,1.6325,3.6394,5e-04,"PI.413153"
"IsolateID  1.04.051",32,2.0384,0.4216,6.8,4.84,1.0349,3.0419,0.0021,"PI.413153"
"IsolateID  1.04.121",33,2.1026,0.442,8.2,4.76,1.0871,3.1181,0.0013,"PI.413153"
"IsolateID  1.04.151",34,1.6231,0.4216,6.8,3.85,0.6196,2.6267,0.0067,"PI.413153"
"IsolateID  1.04.171",35,2.7382,0.4422,8.2,6.19,1.7226,3.7539,2e-04,"PI.413153"
"IsolateID  1.04.191",36,2.4718,0.4217,6.8,5.86,1.4682,3.4754,7e-04,"PI.413153"
"IsolateID  1.04.201",37,1.1688,0.4218,6.8,2.77,0.1652,2.1724,0.0285,"PI.413153"
"IsolateID  1.04.211",38,1.2636,0.4218,6.8,3,0.26,2.2672,0.0208,"PI.413153"
"IsolateID  1.04.251",39,2.2366,0.4216,6.8,5.31,1.2331,3.2401,0.0012,"PI.413153"
"IsolateID  1.05.111",40,2.2537,0.4215,6.8,5.35,1.2502,3.2572,0.0012,"PI.413153"
"IsolateID  1.05.141",41,2.869,0.4217,6.8,6.8,1.8655,3.8726,3e-04,"PI.413153"
"IsolateID  1.05.171",42,1.4243,0.4217,6.8,3.38,0.4207,2.4279,0.0124,"PI.413153"
"IsolateID  1.05.221",43,1.8621,0.4214,6.8,4.42,0.8586,2.8656,0.0034,"PI.413153"
"IsolateID  1.05.241",44,2.5376,0.4217,6.8,6.02,1.534,3.5411,6e-04,"PI.413153"
"IsolateID  2.04.031",45,3.0832,0.4217,6.8,7.31,2.0797,4.0868,2e-04,"PI.413153"
"IsolateID  2.04.041",46,3.4321,0.4419,8.2,7.77,2.4167,4.4475,0,"PI.413153"
"IsolateID  2.04.081",47,3.3354,0.4214,6.8,7.91,2.3319,4.3389,1e-04,"PI.413153"
"IsolateID  2.04.091",48,2.8628,0.4214,6.8,6.79,1.8594,3.8663,3e-04,"PI.413153"
"IsolateID  2.04.111",49,2.9853,0.4214,6.8,7.08,1.9818,3.9888,2e-04,"PI.413153"
"IsolateID  2.04.121",50,3.0124,0.4215,6.8,7.15,2.0089,4.0159,2e-04,"PI.413153"
"IsolateID  2.04.141",51,2.2798,0.4217,6.8,5.41,1.2762,3.2834,0.0011,"PI.413153"
"IsolateID  2.04.171",52,2.6495,0.4213,6.8,6.29,1.6461,3.6529,5e-04,"PI.413153"
"IsolateID  2.04.181",53,2.4497,0.4215,6.8,5.81,1.4462,3.4532,7e-04,"PI.413153"
"IsolateID  2.04.201",54,2.8051,0.4215,6.8,6.66,1.8016,3.8086,3e-04,"PI.413153"
"IsolateID  2.04.211",55,2.5539,0.4217,6.8,6.06,1.5503,3.5575,6e-04,"PI.413153"
"IsolateID  20041",56,1.2103,0.4217,6.8,2.87,0.2067,2.2138,0.0248,"PI.413153"
"IsolateID  94.11",57,1.9581,0.4214,6.8,4.65,0.9546,2.9616,0.0026,"PI.413153"
"IsolateID  94.41",58,0.798,0.4216,6.8,1.89,-0.2056,1.8015,0.1016,"PI.413153"
"IsolateID  Acacia1",59,1.9288,0.4216,6.8,4.57,0.9253,2.9324,0.0028,"PI.413153"
"IsolateID  Apple4041",60,2.7967,0.4214,6.8,6.64,1.7933,3.8002,3e-04,"PI.413153"
"IsolateID  Apple5171",61,2.6646,0.4215,6.8,6.32,1.6611,3.6681,5e-04,"PI.413153"
"IsolateID  Ausubel1",62,2.2736,0.4213,6.8,5.4,1.2702,3.2771,0.0011,"PI.413153"
"IsolateID  B05.101",63,1.0221,0.4215,6.8,2.43,0.0187,2.0256,0.0469,"PI.413153"
"IsolateID  BMM1",64,2.2018,0.4215,6.8,5.22,1.1983,3.2053,0.0014,"PI.413153"
"IsolateID  BPA11",65,2.3473,0.4216,6.8,5.57,1.3438,3.3508,9e-04,"PI.413153"
"IsolateID  DavisNavel1",66,0.2363,0.4216,6.8,0.56,-0.7673,1.2398,0.5932,"PI.413153"
"IsolateID  EsparatoFresa1",67,1.0731,0.4217,6.8,2.54,0.0696,2.0767,0.0394,"PI.413153"
"IsolateID  Fd11",68,2.6162,0.4421,8.2,5.92,1.6007,3.6317,3e-04,"PI.413153"
"IsolateID  Fd21",69,2.5895,0.4218,6.8,6.14,1.5859,3.5932,5e-04,"PI.413153"
"IsolateID  Fresa5251",70,2.3951,0.4423,8.2,5.42,1.3794,3.4107,6e-04,"PI.413153"
"IsolateID  FresaSD1",71,1.0838,0.4422,8.2,2.45,0.0682,2.0994,0.0392,"PI.413153"
"IsolateID  Gallo11",72,1.5573,0.4215,6.8,3.69,0.5538,2.5608,0.0082,"PI.413153"
"IsolateID  Gallo21",73,1.7343,0.4215,6.8,4.11,0.7308,2.7378,0.0048,"PI.413153"
"IsolateID  Geranium1",74,0.845,0.4421,8.2,1.91,-0.1705,1.8605,0.0915,"PI.413153"
"IsolateID  Grape1",75,2.4447,0.4218,6.8,5.8,1.4411,3.4483,7e-04,"PI.413153"
"IsolateID  KatieTomato1",76,3.069,0.4217,6.8,7.28,2.0655,4.0726,2e-04,"PI.413153"
"IsolateID  KernA21",77,2.4269,0.4424,8.2,5.49,1.4112,3.4426,5e-04,"PI.413153"
"IsolateID  KernB11",78,2.305,0.4214,6.8,5.47,1.3016,3.3085,0.001,"PI.413153"
"IsolateID  KernB21",79,3.3629,0.4214,6.8,7.98,2.3594,4.3664,1e-04,"PI.413153"
"IsolateID  KGB21",80,3.1425,0.4214,6.8,7.46,2.139,4.146,2e-04,"PI.413153"
"IsolateID  MEAP6G1",81,2.1456,0.4213,6.8,5.09,1.1422,3.1491,0.0016,"PI.413153"
"IsolateID  Mex031",82,1.7641,0.4216,6.8,4.18,0.7605,2.7677,0.0044,"PI.413153"
"IsolateID  Molly1",83,3.3302,0.4215,6.8,7.9,2.3267,4.3337,1e-04,"PI.413153"
"IsolateID  Navel1",84,2.3933,0.4423,8.2,5.41,1.3777,3.409,6e-04,"PI.413153"
"IsolateID  NobleRot1",85,1.0656,0.4214,6.8,2.53,0.0622,2.0691,0.0404,"PI.413153"
"IsolateID  Peachy1",86,2.2216,0.4214,6.8,5.27,1.2181,3.225,0.0013,"PI.413153"
"IsolateID  Pepper1",87,2.2005,0.4215,6.8,5.22,1.197,3.204,0.0014,"PI.413153"
"IsolateID  PepperSub1",88,2.2443,0.4214,6.8,5.33,1.2408,3.2478,0.0012,"PI.413153"
"IsolateID  PhiloMenlo1",89,1.073,0.4221,6.8,2.54,0.0692,2.0767,0.0394,"PI.413153"
"IsolateID  Rasp1",90,2.5697,0.4214,6.8,6.1,1.5662,3.5731,6e-04,"PI.413153"
"IsolateID  Rose1",91,0.8897,0.4216,6.8,2.11,-0.1139,1.8932,0.074,"PI.413153"
"IsolateID  Supersteak1",92,2.5721,0.4217,6.8,6.1,1.5685,3.5756,6e-04,"PI.413153"
"IsolateID  Triple31",93,2.2882,0.4218,6.8,5.43,1.2846,3.2918,0.0011,"PI.413153"
"IsolateID  Triple71",94,0.39,0.4215,6.8,0.93,-0.6135,1.3935,0.3866,"PI.413153"
"IsolateID  UKRazz1",95,3.2213,0.4217,6.8,7.64,2.2178,4.2249,1e-04,"PI.413153"
"IsolateID  1.01.012",1,1.9599,0.3523,9.5,5.56,1.1698,2.75,3e-04,"PI.413153"
"IsolateID  1.01.022",2,1.9799,0.3524,9.5,5.62,1.1897,2.7701,3e-04,"PI.413153"
"IsolateID  1.01.032",3,1.8985,0.3526,9.6,5.38,1.1081,2.689,4e-04,"PI.413153"
"IsolateID  1.01.042",4,2.2431,0.3526,9.6,6.36,1.4526,3.0335,1e-04,"PI.413153"
"IsolateID  1.01.062",5,2.1668,0.376,12.3,5.76,1.35,2.9837,1e-04,"PI.413153"
"IsolateID  1.01.152",6,2.0428,0.3762,12.3,5.43,1.2257,2.8599,1e-04,"PI.413153"
"IsolateID  1.02.012",7,2.1229,0.3523,9.5,6.03,1.3328,2.9131,2e-04,"PI.413153"
"IsolateID  1.02.022",8,2.5907,0.3524,9.5,7.35,1.8005,3.381,0,"PI.413153"
"IsolateID  1.02.032",9,2.1567,0.3524,9.5,6.12,1.3665,2.9469,1e-04,"PI.413153"
"IsolateID  1.02.042",10,2.3579,0.3525,9.6,6.69,1.5675,3.1483,1e-04,"PI.413153"
"IsolateID  1.02.052",11,2.4818,0.3523,9.5,7.04,1.6916,3.272,0,"PI.413153"
"IsolateID  1.02.062",12,2.0891,0.3526,9.6,5.92,1.2986,2.8795,2e-04,"PI.413153"
"IsolateID  1.02.132",13,0.73,0.376,12.3,1.94,-0.0869,1.5469,0.0754,"PI.413153"
"IsolateID  1.02.152",14,2.3339,0.3525,9.6,6.62,1.5436,3.1242,1e-04,"PI.413153"
"IsolateID  1.02.162",15,1.4536,0.3524,9.5,4.12,0.6634,2.2439,0.0023,"PI.413153"
"IsolateID  1.02.172",16,2.4857,0.3525,9.6,7.05,1.6953,3.276,0,"PI.413153"
"IsolateID  1.02.182",17,0.035,0.3526,9.6,0.1,-0.7554,0.8254,0.923,"PI.413153"
"IsolateID  1.02.202",18,1.8606,0.376,12.3,4.95,1.0438,2.6774,3e-04,"PI.413153"
"IsolateID  1.03.022",19,1.9711,0.3524,9.6,5.59,1.1808,2.7614,3e-04,"PI.413153"
"IsolateID  1.03.042",20,2.2938,0.3523,9.5,6.51,1.5036,3.084,1e-04,"PI.413153"
"IsolateID  1.03.122",21,2.1902,0.3524,9.6,6.21,1.3999,2.9805,1e-04,"PI.413153"
"IsolateID  1.03.162",22,2.2284,0.3526,9.6,6.32,1.438,3.0188,1e-04,"PI.413153"
"IsolateID  1.03.182",23,3.0096,0.3523,9.5,8.54,2.2194,3.7997,0,"PI.413153"
"IsolateID  1.03.192",24,2.0567,0.3523,9.5,5.84,1.2665,2.8469,2e-04,"PI.413153"
"IsolateID  1.03.202",25,0.1478,0.3526,9.6,0.42,-0.6426,0.9383,0.6843,"PI.413153"
"IsolateID  1.03.222",26,1.7901,0.3524,9.5,5.08,0.9998,2.5803,6e-04,"PI.413153"
"IsolateID  1.03.232",27,1.354,0.3523,9.5,3.84,0.5639,2.1442,0.0035,"PI.413153"
"IsolateID  1.04.012",28,2.4944,0.3526,9.6,7.08,1.704,3.2848,0,"PI.413153"
"IsolateID  1.04.022",29,1.1978,0.3523,9.5,3.4,0.4076,1.9879,0.0072,"PI.413153"
"IsolateID  1.04.032",30,2.8041,0.3524,9.5,7.96,2.0138,3.5943,0,"PI.413153"
"IsolateID  1.04.042",31,2.1361,0.3522,9.5,6.06,1.3461,2.9262,1e-04,"PI.413153"
"IsolateID  1.04.052",32,2.6337,0.3524,9.6,7.47,1.8434,3.424,0,"PI.413153"
"IsolateID  1.04.122",33,2.06,0.3759,12.3,5.48,1.2433,2.8767,1e-04,"PI.413153"
"IsolateID  1.04.152",34,1.4934,0.3525,9.6,4.24,0.703,2.2837,0.0019,"PI.413153"
"IsolateID  1.04.172",35,2.4183,0.3761,12.3,6.43,1.6013,3.2353,0,"PI.413153"
"IsolateID  1.04.192",36,2.131,0.3526,9.6,6.04,1.3406,2.9215,1e-04,"PI.413153"
"IsolateID  1.04.202",37,1.6448,0.3526,9.6,4.66,0.8543,2.4353,0.001,"PI.413153"
"IsolateID  1.04.212",38,1.4188,0.3527,9.6,4.02,0.6283,2.2094,0.0026,"PI.413153"
"IsolateID  1.04.252",39,2.4298,0.3524,9.5,6.9,1.6396,3.2201,1e-04,"PI.413153"
"IsolateID  1.05.112",40,2.5452,0.3523,9.5,7.22,1.7551,3.3354,0,"PI.413153"
"IsolateID  1.05.142",41,2.5554,0.3525,9.6,7.25,1.765,3.3458,0,"PI.413153"
"IsolateID  1.05.172",42,1.7496,0.3525,9.6,4.96,0.9592,2.54,6e-04,"PI.413153"
"IsolateID  1.05.222",43,2.0947,0.3523,9.5,5.95,1.3046,2.8849,2e-04,"PI.413153"
"IsolateID  1.05.242",44,2.0233,0.3526,9.6,5.74,1.2328,2.8137,2e-04,"PI.413153"
"IsolateID  2.04.032",45,2.9117,0.3526,9.6,8.26,2.1212,3.7022,0,"PI.413153"
"IsolateID  2.04.042",46,2.9475,0.3758,12.3,7.84,2.1309,3.764,0,"PI.413153"
"IsolateID  2.04.082",47,2.959,0.3523,9.5,8.4,2.1688,3.7491,0,"PI.413153"
"IsolateID  2.04.092",48,3.209,0.3523,9.5,9.11,2.4188,3.9992,0,"PI.413153"
"IsolateID  2.04.112",49,3.0754,0.3524,9.5,8.73,2.2851,3.8656,0,"PI.413153"
"IsolateID  2.04.122",50,2.3146,0.3524,9.6,6.57,1.5243,3.1049,1e-04,"PI.413153"
"IsolateID  2.04.142",51,2.8467,0.3526,9.6,8.07,2.0563,3.6372,0,"PI.413153"
"IsolateID  2.04.172",52,2.9106,0.3522,9.5,8.26,2.1205,3.7007,0,"PI.413153"
"IsolateID  2.04.182",53,3.2286,0.3524,9.5,9.16,2.4383,4.0188,0,"PI.413153"
"IsolateID  2.04.202",54,3.065,0.376,12.3,8.15,2.2481,3.8818,0,"PI.413153"
"IsolateID  2.04.212",55,2.8128,0.3527,9.6,7.98,2.0223,3.6033,0,"PI.413153"
"IsolateID  20042",56,2.1726,0.3525,9.6,6.16,1.3822,2.9629,1e-04,"PI.413153"
"IsolateID  94.12",57,3.3587,0.3523,9.5,9.53,2.5685,4.1488,0,"PI.413153"
"IsolateID  94.42",58,1.6847,0.3524,9.6,4.78,0.8945,2.475,8e-04,"PI.413153"
"IsolateID  Acacia2",59,1.8744,0.3525,9.6,5.32,1.0841,2.6647,4e-04,"PI.413153"
"IsolateID  Apple4042",60,1.6324,0.3523,9.5,4.63,0.8423,2.4226,0.0011,"PI.413153"
"IsolateID  Apple5172",61,2.6191,0.3524,9.5,7.43,1.8288,3.4093,0,"PI.413153"
"IsolateID  Ausubel2",62,1.9385,0.3522,9.5,5.5,1.1485,2.7286,3e-04,"PI.413153"
"IsolateID  B05.102",63,0.5751,0.3524,9.6,1.63,-0.2152,1.3654,0.1352,"PI.413153"
"IsolateID  BMM2",64,2.4857,0.3524,9.5,7.05,1.6954,3.2759,0,"PI.413153"
"IsolateID  BPA12",65,3.3931,0.3524,9.5,9.63,2.6028,4.1833,0,"PI.413153"
"IsolateID  DavisNavel2",66,0.4587,0.3525,9.6,1.3,-0.3316,1.249,0.2236,"PI.413153"
"IsolateID  EsparatoFresa2",67,1.009,0.3527,9.6,2.86,0.2184,1.7995,0.0176,"PI.413153"
"IsolateID  Fd12",68,2.8033,0.376,12.3,7.46,1.9864,3.6202,0,"PI.413153"
"IsolateID  Fd22",69,2.4001,0.3526,9.6,6.81,1.6097,3.1906,1e-04,"PI.413153"
"IsolateID  Fresa5252",70,3.1245,0.3762,12.3,8.31,2.3074,3.9417,0,"PI.413153"
"IsolateID  FresaSD2",71,1.8012,0.376,12.3,4.79,0.9843,2.6181,4e-04,"PI.413153"
"IsolateID  Gallo12",72,0.7443,0.3524,9.5,2.11,-0.0459,1.5346,0.0621,"PI.413153"
"IsolateID  Gallo22",73,2.7686,0.3524,9.5,7.86,1.9784,3.5589,0,"PI.413153"
"IsolateID  Geranium2",74,0.7043,0.376,12.3,1.87,-0.1126,1.5213,0.085,"PI.413153"
"IsolateID  Grape2",75,1.4348,0.3526,9.6,4.07,0.6444,2.2253,0.0025,"PI.413153"
"IsolateID  KatieTomato2",76,2.7793,0.3526,9.6,7.88,1.9889,3.5698,0,"PI.413153"
"IsolateID  KernA22",77,2.3108,0.3763,12.4,6.14,1.4936,3.128,0,"PI.413153"
"IsolateID  KernB12",78,2.969,0.3523,9.5,8.43,2.1788,3.7591,0,"PI.413153"
"IsolateID  KernB22",79,2.1199,0.3523,9.5,6.02,1.3297,2.9101,2e-04,"PI.413153"
"IsolateID  KGB22",80,2.3873,0.3523,9.5,6.78,1.5972,3.1774,1e-04,"PI.413153"
