"","IsolateID","Estimate","Standard Error","DF","t-value","Lower CI","Upper CI","p-value","Plant"
"IsolateID  1.02.0610",12,2.1146,0.3899,36.6,5.42,1.3244,2.9048,0,"PI.413153"
"IsolateID  1.02.1310",13,0.9589,0.4195,47.9,2.29,0.1154,1.8024,0.0267,"PI.413153"
"IsolateID  1.02.1510",14,2.0052,0.3897,36.6,5.15,1.2153,2.7951,0,"PI.413153"
"IsolateID  1.02.1610",15,1.3898,0.3896,36.5,3.57,0.6001,2.1796,0.001,"PI.413153"
"IsolateID  1.02.1710",16,2.1501,0.3899,36.6,5.51,1.3598,2.9404,0,"PI.413153"
"IsolateID  1.02.1810",17,-0.0243,0.3898,36.6,-0.06,-0.8143,0.7657,0.9506,"PI.413153"
"IsolateID  1.02.2010",18,1.9791,0.4193,47.9,4.72,1.1359,2.8223,0,"PI.413153"
"IsolateID  1.03.0210",19,2.4999,0.3897,36.6,6.42,1.71,3.2898,0,"PI.413153"
"IsolateID  1.03.0410",20,1.8339,0.3895,36.5,4.71,1.0444,2.6234,0,"PI.413153"
"IsolateID  1.03.1210",21,1.9885,0.3897,36.6,5.1,1.1987,2.7783,0,"PI.413153"
"IsolateID  1.03.1610",22,2.3031,0.3899,36.6,5.91,1.513,3.0933,0,"PI.413153"
"IsolateID  1.03.1810",23,1.9585,0.3894,36.5,5.03,1.1691,2.7479,0,"PI.413153"
"IsolateID  1.03.1910",24,1.6672,0.3896,36.5,4.28,0.8775,2.4569,1e-04,"PI.413153"
"IsolateID  1.03.2010",25,0.1666,0.3899,36.6,0.43,-0.6236,0.9569,0.6716,"PI.413153"
"IsolateID  1.03.2210",26,1.7801,0.3895,36.5,4.57,0.9906,2.5696,1e-04,"PI.413153"
"IsolateID  1.03.2310",27,1.8987,0.3895,36.5,4.87,1.1091,2.6882,0,"PI.413153"
"IsolateID  1.04.0110",28,1.8266,0.3899,36.6,4.68,1.0363,2.6169,0,"PI.413153"
"IsolateID  1.04.0210",29,1.0795,0.3894,36.5,2.77,0.29,1.8689,0.0087,"PI.413153"
"IsolateID  1.04.0310",30,1.6211,0.3896,36.6,4.16,0.8314,2.4107,2e-04,"PI.413153"
"IsolateID  1.04.0410",31,1.976,0.3893,36.4,5.08,1.1867,2.7654,0,"PI.413153"
"IsolateID  1.04.0510",32,1.8393,0.3897,36.6,4.72,1.0494,2.6292,0,"PI.413153"
"IsolateID  1.04.1210",33,2.0341,0.4193,47.8,4.85,1.191,2.8772,0,"PI.413153"
"IsolateID  1.04.1510",34,1.2592,0.3897,36.6,3.23,0.4693,2.0491,0.0026,"PI.413153"
"IsolateID  1.04.1710",35,1.6391,0.4196,48,3.91,0.7954,2.4828,3e-04,"PI.413153"
"IsolateID  1.04.1910",36,1.9645,0.3899,36.6,5.04,1.1742,2.7548,0,"PI.413153"
"IsolateID  1.04.2010",37,1.5239,0.39,36.7,3.91,0.7335,2.3144,4e-04,"PI.413153"
"IsolateID  1.04.2110",38,1.6363,0.39,36.7,4.2,0.8458,2.4268,2e-04,"PI.413153"
"IsolateID  1.04.2510",39,2.5465,0.3896,36.5,6.54,1.7567,3.3363,0,"PI.413153"
"IsolateID  1.05.1110",40,1.7822,0.3894,36.4,4.58,0.9927,2.5717,1e-04,"PI.413153"
"IsolateID  1.05.1410",41,1.9925,0.3898,36.6,5.11,1.2024,2.7827,0,"PI.413153"
"IsolateID  1.05.1710",42,1.0527,0.3898,36.6,2.7,0.2625,1.8429,0.0104,"PI.413153"
"IsolateID  1.05.2210",43,1.78,0.3893,36.4,4.57,0.9907,2.5693,1e-04,"PI.413153"
"IsolateID  1.05.2410",44,2.106,0.3899,36.7,5.4,1.3157,2.8962,0,"PI.413153"
"IsolateID  2.04.0310",45,2.9063,0.3899,36.6,7.45,2.1161,3.6965,0,"PI.413153"
